id,title,content,type,is_vignette,is_random,created_at,updated_at
248,BE12018-A5,"<p>This is the clinical and radiological picture of a 25 y.o male. He came with a complaint of a right knee pain and instability. There is a history of a direct trauma to the knee in a motorcycle accident 6 months ago. Physical examination shows posterior sagging and muscle atrophy, no tenderness, normal neurovascular distal, and range of motion from 0-120 degrees. The special test was performed with result anterior drawer test -/-, Lachman test -/-, posterior drawer test +++/-, and quadriceps active test +/-.</p>",essay,1,0,2017-12-27 16:49:10,2017-12-30 21:44:45
249,BE12018-S3,"<p>This figure above shows fluoroscopy finding during interventional pain management;</p>

<p>&nbsp;</p>",essay,1,0,2017-12-29 23:16:43,2017-12-29 23:22:57
250,BE12018-S4,<p>The picture above is A lateral Lumbar Spine X-ray</p>,essay,1,0,2017-12-29 23:23:45,2018-11-20 06:05:32
251,BE12018-S5,,essay,1,0,2017-12-29 23:41:17,2018-01-04 05:47:17
252,OBS-1,,multiple-choice,0,1,2018-05-20 00:00:12,2018-07-09 23:49:23
253,OBS-2,,multiple-choice,0,1,2018-05-20 00:03:03,2018-05-20 00:03:03
254,OBS-3,,multiple-choice,0,1,2018-05-20 00:05:03,2018-05-20 00:05:03
255,OBS-4,,multiple-choice,0,1,2018-05-20 00:07:31,2018-05-20 00:07:31
256,OBS-5,,multiple-choice,0,1,2018-05-20 00:09:59,2018-07-09 23:50:39
257,OBS-6,,multiple-choice,0,1,2018-05-20 00:16:06,2018-05-20 00:16:06
258,OBS-6,,multiple-choice,0,1,2018-05-20 12:46:12,2018-07-09 23:50:53
259,OBS-7,,multiple-choice,0,1,2018-05-20 12:49:05,2018-05-20 12:49:05
260,OBS-8,,multiple-choice,0,1,2018-05-20 12:57:23,2018-05-20 13:01:57
261,OBS-9,,multiple-choice,0,1,2018-05-20 12:59:43,2018-05-20 12:59:43
262,OBS-10,,multiple-choice,0,1,2018-05-20 13:02:19,2018-05-20 13:02:19
263,OBS-11,,multiple-choice,0,1,2018-05-20 13:04:13,2018-05-20 13:04:13
264,OBS-12,,multiple-choice,0,1,2018-05-20 13:22:32,2018-05-20 13:22:32
265,OBS-13,,multiple-choice,0,1,2018-05-20 13:29:30,2018-05-20 13:29:30
266,OBS-14,,multiple-choice,0,1,2018-05-20 13:32:15,2018-05-20 13:32:15
267,OBS-15,,multiple-choice,0,1,2018-05-20 13:33:32,2018-05-20 13:33:32
268,OBS-16,,multiple-choice,0,1,2018-05-20 13:38:04,2018-05-20 13:38:04
269,OBS-17,,multiple-choice,0,1,2018-05-20 13:40:04,2018-05-20 13:40:04
270,OBS-18,,multiple-choice,0,1,2018-05-20 13:42:17,2018-05-20 13:42:17
271,OBS-19,,multiple-choice,0,1,2018-05-20 13:45:06,2018-05-20 13:45:06
272,OBS-20,,multiple-choice,0,1,2018-05-20 13:47:12,2018-05-20 13:47:12
273,OBS-21,,multiple-choice,0,1,2018-05-20 13:49:04,2018-05-20 13:52:40
274,OBS-22,,multiple-choice,0,1,2018-05-20 13:57:11,2018-05-20 13:57:11
275,OBS-23,,multiple-choice,0,1,2018-05-20 14:00:07,2018-05-20 14:00:07
276,OBS-24,,multiple-choice,0,1,2018-05-20 14:02:33,2018-11-20 05:12:23
277,OBS-25,,multiple-choice,0,1,2018-05-20 14:08:01,2018-05-20 14:08:01
278,OBS-26,,multiple-choice,0,1,2018-05-20 14:13:39,2018-05-20 14:13:39
279,OBS-27,,multiple-choice,0,1,2018-05-20 14:17:02,2018-05-20 14:17:14
280,OBS-28,,multiple-choice,0,1,2018-05-20 14:19:16,2018-07-09 23:47:41
281,0BS-29,,multiple-choice,0,1,2018-05-20 14:23:01,2018-05-20 14:23:01
282,OBS-30,,multiple-choice,0,1,2018-05-20 14:25:08,2018-07-09 23:51:06
283,OBS-31,,multiple-choice,0,1,2018-05-20 14:26:44,2018-05-20 14:29:43
284,OBS-32,,multiple-choice,0,1,2018-05-20 14:32:22,2018-05-20 14:32:22
285,OBS-33,,multiple-choice,0,1,2018-05-20 14:34:04,2018-05-20 14:34:04
286,OBS-34,,multiple-choice,0,1,2018-05-20 14:35:46,2018-05-20 14:35:46
287,OBS-35,,multiple-choice,0,1,2018-05-20 14:38:01,2018-05-20 14:38:01
288,OBS-36,,multiple-choice,0,1,2018-05-20 14:40:16,2018-05-20 14:40:16
289,OBS-37,,multiple-choice,0,1,2018-05-20 14:43:32,2018-05-20 14:43:32
290,OBS-38,,multiple-choice,0,1,2018-05-20 14:45:40,2018-05-20 14:45:40
291,OBS-39,,multiple-choice,0,1,2018-05-20 14:49:04,2018-05-20 14:49:04
292,OBS-40,,multiple-choice,0,1,2018-05-20 14:51:32,2018-05-20 14:51:32
293,OBS-41,,multiple-choice,0,1,2018-05-20 14:53:46,2018-05-20 14:53:46
294,OBS-42,,multiple-choice,0,1,2018-05-20 14:56:12,2018-05-20 14:56:12
295,OBS-43,,multiple-choice,0,1,2018-05-20 15:05:09,2018-05-20 15:05:09
296,OBS-44,,multiple-choice,0,1,2018-05-20 15:13:20,2018-05-20 15:13:20
297,OBS-45,,multiple-choice,0,1,2018-05-20 15:16:20,2018-05-20 15:16:20
298,OBS-46,,multiple-choice,0,1,2018-05-20 15:18:13,2018-05-20 15:18:13
299,OBS-47,,multiple-choice,0,1,2018-05-20 15:20:07,2018-05-20 15:20:07
300,OBS-48,,multiple-choice,0,1,2018-05-20 15:25:28,2018-05-20 15:25:28
301,OBS-49,,multiple-choice,0,1,2018-05-20 15:28:17,2018-05-20 15:28:17
302,OBS-50,,multiple-choice,0,1,2018-05-20 15:30:46,2018-05-20 15:30:46
303,OBS-51,,multiple-choice,0,1,2018-05-20 15:33:00,2018-05-20 15:33:00
304,OBS-52,,multiple-choice,0,1,2018-05-20 15:36:01,2018-05-20 15:36:01
305,OBS-53,,multiple-choice,0,1,2018-05-20 22:19:27,2018-05-20 22:19:27
306,0BS-54,,multiple-choice,0,1,2018-05-20 22:23:53,2018-05-20 22:23:53
307,OBS-55,,multiple-choice,0,1,2018-05-20 22:28:03,2018-05-20 22:28:03
308,OBS-56,,multiple-choice,0,1,2018-05-20 22:29:32,2018-05-20 22:29:32
309,OBS-57,,multiple-choice,0,1,2018-05-20 22:31:41,2018-05-20 22:31:41
310,0BS-58,,multiple-choice,0,1,2018-05-20 22:34:25,2018-05-20 22:34:25
311,OBS-59,,multiple-choice,0,1,2018-05-20 22:36:31,2018-05-20 22:36:31
312,OBS-60,,multiple-choice,0,1,2018-05-20 22:38:52,2018-05-20 22:38:52
313,OBS-61,,multiple-choice,0,1,2018-05-20 22:41:00,2018-05-20 22:41:00
314,OBS-62,,multiple-choice,0,1,2018-05-20 22:45:09,2018-05-20 22:45:09
315,OBS-63,,multiple-choice,0,1,2018-05-20 22:48:42,2018-05-20 22:48:42
316,OBS-64,,multiple-choice,0,1,2018-05-20 22:50:33,2018-05-20 22:50:33
317,OBS-65,,multiple-choice,0,1,2018-05-20 22:53:16,2018-05-20 22:53:16
318,OBS-66,,multiple-choice,0,1,2018-05-20 22:56:48,2018-05-20 22:56:48
319,OBS-67,,multiple-choice,0,1,2018-05-20 22:58:50,2018-05-20 22:58:50
320,OBS-68,,multiple-choice,0,1,2018-05-20 23:00:46,2018-05-20 23:00:46
321,OBS-69,,multiple-choice,0,1,2018-05-20 23:03:02,2018-05-20 23:03:02
322,OBS-70,,multiple-choice,0,1,2018-05-20 23:06:30,2018-05-20 23:06:30
323,OBS-71,,multiple-choice,0,1,2018-05-20 23:09:03,2018-05-20 23:09:03
324,OBS-72,,multiple-choice,0,1,2018-05-20 23:12:15,2018-05-20 23:12:15
325,TUMOR-1,,multiple-choice,0,1,2018-05-20 23:14:10,2018-11-20 05:22:13
326,OBS-73,,multiple-choice,0,1,2018-05-20 23:20:38,2018-05-20 23:20:38
327,OBS-74,,multiple-choice,0,1,2018-05-20 23:21:34,2018-05-20 23:21:34
328,OBS-75,,multiple-choice,0,1,2018-05-20 23:24:45,2018-11-20 05:11:52
329,obs-76,,multiple-choice,0,1,2018-05-20 23:28:48,2018-05-20 23:28:48
330,OBS-77,,multiple-choice,0,1,2018-05-20 23:31:22,2018-05-20 23:31:22
331,OBS-78,,multiple-choice,0,1,2018-05-20 23:34:57,2018-05-20 23:34:57
332,OBS-79,,multiple-choice,0,1,2018-05-20 23:38:27,2018-05-20 23:38:27
333,OBS-80,,multiple-choice,0,1,2018-05-20 23:49:55,2018-05-20 23:49:55
334,METABOLIC -1,,multiple-choice,0,1,2018-05-20 23:52:00,2019-11-08 09:41:58
335,OBS-81,,multiple-choice,0,1,2018-05-20 23:54:55,2018-11-20 05:11:39
336,OBS-82,,multiple-choice,0,1,2018-05-20 23:57:29,2018-05-20 23:57:29
337,METABOLIC-2,,multiple-choice,0,1,2018-05-20 23:59:09,2018-11-20 05:11:23
338,OBS-83,,multiple-choice,0,1,2018-05-21 00:01:08,2018-11-20 05:11:31
339,OBS-84,,multiple-choice,0,1,2018-05-21 00:03:02,2018-05-21 00:03:02
340,OBS-85,,multiple-choice,0,1,2018-05-21 00:05:57,2018-05-21 00:05:57
341,OBS-86,,multiple-choice,0,1,2018-05-21 00:07:50,2018-05-21 00:07:50
342,OBS-87,,multiple-choice,0,1,2018-05-21 00:09:22,2018-11-20 05:11:04
343,TRAUMA-1,,multiple-choice,0,1,2018-05-21 00:12:13,2018-05-21 00:12:13
344,OBS-88,,multiple-choice,0,1,2018-05-21 00:16:14,2018-11-20 05:10:51
345,OBS-89,,multiple-choice,0,1,2018-05-21 00:19:29,2018-05-21 00:19:29
346,OBS-90,,multiple-choice,0,1,2018-05-21 00:22:28,2018-05-21 00:22:28
347,OBS-91,,multiple-choice,0,1,2018-05-21 00:24:03,2018-11-20 05:10:39
348,BE18718-UNHAS1,,multiple-choice,0,1,2018-07-01 09:54:16,2018-07-01 09:54:16
349,BE18718-UNHAS2,,multiple-choice,0,1,2018-07-01 10:04:52,2018-11-20 05:38:53
350,BE18718-UNHAS3,"<p>A 44 year old, right-hand-dominant, male, sustains blunt trauma to his right arm while using a jackhammer. He has immediate pain and deformity to his right upper extremity and presents immediately to the emergency department with this isolated injury. Physical examination shows skin to be intact, and patient has wrist extensor weakness. Plain radiographs reveal a spiral fracture of the right humerus mid-diaphysis with 30 degrees of anterior and 30 degrees of varus angulation.</p>",multiple-choice,1,1,2018-07-01 10:07:05,2018-11-20 05:10:23
351,BE18718-UNHAS4,,multiple-choice,0,0,2018-07-04 22:45:10,2018-07-04 22:49:44
352,BE18718-UNHAS5,,multiple-choice,0,1,2018-07-04 22:52:08,2018-07-04 22:52:08
353,BE18718-UNHAS6,<p>A 50-year-old otherwise healthy and active gentleman fell from a height of approximately 8 ft while rock climbing. He had immediate pain in his left ankle an was unable to bear weight on that extremity. He presented to the emergency department with pain isolated to the left ankle and foot. Initial radiographs of the left ankle are obtained and the lateral view is shown.</p>,multiple-choice,1,1,2018-07-04 22:54:22,2018-07-04 22:59:10
354,BE18718-UNHAS7,,multiple-choice,0,1,2018-07-04 22:59:49,2018-07-04 22:59:49
355,BE18718-UNHAS8,,multiple-choice,0,1,2018-07-04 23:02:35,2018-07-04 23:02:35
356,BE18718-UNHAS9,,multiple-choice,0,1,2018-07-05 11:08:54,2018-07-05 11:08:54
357,BE18718-UNHAS10,,multiple-choice,0,1,2018-07-05 11:11:25,2018-07-05 11:11:25
358,BE18718-UNHAS11,<p>A 78-year-old woman is complaining of a new onset of mid-thoracic back pain after a fall from standing 2 days ago. She denies any radiating pain or paresthesias into the extremities. Physical examination demonstrates that she is neurologically intact and has localized tenderness over the thoracic spine. She remains ambulatory and has adequate pain relief with over-the-counter medications. Thoracic spine radiographs are shown in figure.</p>,multiple-choice,1,1,2018-07-05 11:13:32,2018-11-20 05:08:35
359,BE18718-UNHAS12,"<p>A 76-year-old, right-hand-dominant man presents to clinic complaining of right shoulder pain. The pain started several months ago, has gotten progressively worse and is located diffusely over his deltoid region. He has night pain and pain with overhead activity. On examination, there is no visible muscle atrophy, and he has full passive and near full active range of motion. He experiences pain and some weakness with resisted shoulder forward flexion and abduction.</p>",multiple-choice,1,1,2018-07-05 11:19:06,2018-11-20 05:08:21
360,BE18718-UNHAS13,"<p>A patient presents with a history of chronic wrist pain of 6 years duration. He stated that he sustained a fall 9 years ago. Immediately after injury, he did not seek any medical attention, thinking that he had merely sprained his wrist.</p>",multiple-choice,1,1,2018-07-05 11:25:04,2018-07-06 01:18:52
361,BE18718-UNHAS14,"<p>A 57-year-old female presents to the office with atraumatic knee pain. Her pain is worse at the beginning of activities as well as the end of the day. She has trouble ascending and descending stairs. She uses anti-inflammatories intermittently with mild relief. On examination she has pain along the medial joint line but full range of motion. X-rays show characteristic medial joint space narrowing, subchondral sclerosis, and cysts.</p>",multiple-choice,1,1,2018-07-05 11:31:09,2018-07-05 12:21:09
362,BE18718-UNHAS15,"<p>A 56-year-old male is referred to your office by his primary physician, with concern for metastatic disease. He has lytic lesions found throughout his skeleton, including in the left iliac crest and proximal femur. The iliac crest lesion is biopsied for diagnosis confirmation. Histology image is shown above (GAMBAR 1)</p>",multiple-choice,1,1,2018-07-05 12:41:05,2018-11-20 05:07:50
363,BE18718-UNHAS16,"<p>An 7-year-old girl is brought to the ER by her mother after she fell from the monkey bars during recess at school. She had immediate pain, deformity, and swelling of the elbow after the fall. Upon arrival to the ER, the following radiographs were obtained.</p>",multiple-choice,1,1,2018-07-05 12:44:41,2018-11-20 05:08:03
364,BE18718-UNS1,"<p>Preoperative MRI images are shown from a 67-year-old woman with neck pain, bilateral upper extremity paresthesias, progressively worsening balance, several falls, and increasing problems in both hands with dropping objects. Figure 1 is a sagittal view, Figure 2 is an axial cut at C2-3, Figure below is an axial cut at C5-6, and Figure 4 is an axial cut at C6-7. The patient&rsquo;s motor strength is grade 4+ of 5 in the bilateral upper extremities.</p>",multiple-choice,1,1,2018-07-06 01:19:24,2018-11-20 05:07:35
365,BE18718-UNS2,,multiple-choice,0,1,2018-07-06 01:28:27,2018-11-20 05:21:38
366,BE18718-UGM1,"<p>A 25-year-old obese male is sent to your hospital with a diagnosis of bilateral close fracture of the femoral shaft following a road traffic accident. During the primary survey in the ER, you noticed that the patient looks pale with a confused and irritable condition. The extremities are cold with HR: 128 x/minutes, BP: 90/60 mmHg and urine output 15cc/Kg BW/ Hour. After the fluid resuscitation, the patient&rsquo;s condition improves and both of the extremity are put in a traction for provisional immobilization</p>",multiple-choice,1,1,2018-07-06 02:52:22,2018-11-20 05:07:21
367,BE18718-UGM2,"<p>A 45-year-old male has a motorcycle accident and is diagnosed as Left tibial plateau fracture Schatzker 6. In the emergency department, the patient was put in a long leg posterior splint and scheduled for internal fixation the next morning</p>",multiple-choice,1,0,2018-07-06 03:06:42,2018-07-06 03:17:09
368,BE18718-UGM3,"<p>A 34-year-old male come to the orthopedic outpatient clinic with a chief complain of pain and deformity in his back. The pain started with discomfort since 6 months ago and increase as time goes by, predominantly during activity and relieve in resting. He also felt general weakness, night sweats and weight loss with visible a hard lump in the middle part of the back. Your physical finding showed kyphosis with apex around Th 11 with a decrease of ASIA score distal to Th 12 level. The laboratory examination suggests tuberculosis with MRI showing increase T2 weighted image in Th11-12 with abscess formation surrounding the vertebrae and narrowing the spinal canal.</p>",multiple-choice,1,0,2018-07-06 03:17:55,2018-11-20 05:07:08
369,BE18718-UGM4,<p>A 56-year-old female came to the orthopedic outpatient clinic with a chief of complaint of severe pain in her back with numbness and weakness on both of the lower extremity. From the history taking you notice that the patient was diagnosed with DDD and protrusion of the L4-L5 disc that underwent transforaminal injection 2 weeks prior to admission. From the MRI you noticed increased intensity throughout the L4-L5 disc with the posterior epidural extension that encroaches the canal. The laboratory examination showed leucocyte count 21.300/mm3 and ESR 15 mg/ml</p>,multiple-choice,1,0,2018-07-06 03:27:41,2018-11-20 05:21:25
370,BE18718-UGM5,"<p>A 45-year-old male patient comes with main complain of disturbed gait with increased stiffness on both of lower extremity. The complaint is felt on activity and progress over time, 3 months before the disturbed walk he felt the loss of dexterity and have difficulties in buttoning his shirt. From the physical examination, you found that the patient is still able to ambulate independently without walking aid. You also found shuffling gait with increase physiologic reflex on both of lower extremity. From the supporting examination, you find continuous extending ossification of the PLL from C3 to C6 that narrowed the spinal canal.</p>",multiple-choice,1,0,2018-07-06 06:28:42,2018-11-20 05:06:58
371,BE18718-UGM6,"<p>A 65-year-old lady comes to your clinic for the second opinion related to the condition of her knee. She was previously diagnosed with osteoarthritis of the left knee and told to have a knee replacement, due to some hesitation she comes to your clinic to ask for more information. She is an active lady (normal BMI) that still do some Tennis on her spare time, however, during the last 6 months, she often feels knee pain the next morning after playing Tennis. The physical examination showed that her BMI is normal and the ROM of the knee is good. Her x-ray suggests mild osteophyte formation with slight narrowing in the medial part of the knee. She told you that she never take any medicine of physiotherapy related to her complain</p>",multiple-choice,1,0,2018-07-06 06:39:11,2018-11-20 05:05:38
372,BE18718-UGM7,"<p>A 35-year-old male wrestler comes to your clinic with a chief of complain pain and bulging in the anterior part of his knee. The pain is felt during kneeling position due to bulging mass on the anterior part of his patella. He complained that the mass occurred about 3 days ago after kneeling exercise and feel pain afterward. From physical examination, you feel smooth round mass with a diameter of 3 cm on the anterior part of the patella with mobile and fluctuation of the mass.</p>",multiple-choice,1,0,2018-07-06 06:49:29,2018-07-06 06:53:41
373,BE18718-UGM8,"<p>A 13-year-old girl presents with an isolated distal femur mass that was diagnosed as osteosarcoma. From the radiologic investigation, the mass has already extended into the surrounding soft tissue. Further work-up is negative for metastasis, with biopsy reveals a high-grade lesion.</p>",multiple-choice,1,0,2018-07-06 06:54:06,2018-11-20 05:05:12
374,BE18718-H1,"<div>37 yo male, right-hand-dominant male is referred to the ER after sustaining injury on his left ring finger.</div>",essay,1,0,2018-07-13 09:28:52,2018-11-20 05:52:24
375,BE18718-H2,<p>A 29 y.o.&nbsp;male sustained injury to his right elbow during Motor Vehicle Accident. The X-ray of this elbow shown below.</p>,essay,1,1,2018-07-13 09:34:27,2018-07-14 21:19:15
376,BE18718-H3,<p>40 y.o. male worked in Factory got his left hand trapped in machinery for 2 hours. He managed to release his hand afterwards. He felt excruciating pain and can&rsquo;t feel his fingers. Analgetic given only gave little relieve of his pain.</p>,essay,1,0,2018-07-14 09:03:33,2018-07-14 21:22:53
377,BE18718-H4,"<p>21 y.o. Male, Right handed, suffered injury into his left thumb during soccer game. He is a keeper, and got forced thumb abduction when catching the ball.</p>",essay,1,0,2018-07-14 09:22:46,2018-07-14 21:23:04
378,BE18718-H5,"<div>A patient presents with a history of chronic wrist pain of 5 years duration. He sustained a fall 9 years ago. Immediately after injury, he did not seek any medical attention, thinking that he had merely sprained his wrist.</div>",essay,1,0,2018-07-14 09:24:52,2018-11-20 05:53:08
379,BE18718-H6,"<div>A 71 y o male complaining 2-year history of bilateral hand pain. He has morning stiffness in both of his hands, which lasts longer than 1 hour. No trauma to the hands before.</div>

<div>The pain is mostly in his PIP and MCP of both hands. He has general aches and pains all over, but the hands are the worst.</div>

<div>There is swollen, tender PIP and MCP joints bilaterally with some ulnar deviation. The DIP joints seem to be normal. He also has a small, nontender, rubbery nodule near his elbow. Neurovascular exam is normal.</div>",essay,1,0,2018-07-14 09:29:43,2018-07-14 21:23:50
380,BE18718-H7,"<div>A 33 y.o. Male sustained a gunshot wound at the elbow joint 10 months ago. No fracture was seen, and he has had no surgery. Now he complains of the inability to fully extend the wrist and all digits.</div>

<div>&nbsp;</div>

<div>Physical exam reveals 5/5 elbow flexion and extension but no function of the wrist extensors, EDC, or extensor pollicis longus.</div>

<div>&nbsp;</div>

<div>He has diminished sensation on the dorsal aspect of the radial hand and thumb. He has full passive ROM of the digits and wrist flexion and lacks 10 degrees of passive wrist extension.</div>",essay,1,0,2018-07-14 09:32:06,2018-07-14 21:23:55
381,BE18718-A1,"<p>A 75 year old male underwent total knee arthroplasty due to osteoarthritis of the right knee. During the surgery, after trial of the implant, the patella subluxes laterally during flexion.</p>",essay,1,0,2018-07-14 12:02:06,2018-07-14 21:26:26
382,BE18718-A2,"<div>A 61 years old lady complained about pain on her left hip due to osteoarthritis. She underwent elective hybrid total hip replacement surgery under combine spinal epidural anaesthesia. During the surgery, upon insertion of the femoral stem, her heart rate suddenly drop from 100 to 55 per minute, oxygen saturation fell to 76% and she became unresponsive.</div>",essay,1,0,2018-07-14 21:26:53,2018-11-20 06:00:09
383,BE18718-A3,"<div>A 25 years old male complains of &lsquo;giving way&rsquo; feeling on the right knee. 3 weeks ago, his knee was swollen after falling down and hit the ground when he was playing basketball. From the physical examination at the time of the injury, by looking there&rsquo;s asymmetric knee, hyperemia, swelling (+), feel tenderness (+), and&nbsp; limited range of movement, lack of extension. From the special test: Balotement (+), Cross fluctuation test (+), Patellar tap test (+)</div>",essay,1,0,2018-07-14 21:29:04,2018-11-20 05:59:35
384,BE18718-A4,"<p>A 69 years old female presents with swelling and pain on her calf 8 days after total knee arthroplasty. Clinical picture showed that there&rsquo;s swelling (+), bruise (+), tenderness (+), palpable distal pulse (+), and limited range of motion. From the special test: Homan&rsquo;s sign (+), squeeze test (+). D-Dimer level = 3 ug/ml</p>",essay,1,0,2018-07-14 21:32:28,2018-07-14 21:35:34
385,BE18718-A5,"<p>A 45-year-old gentlemen presented with pain and swelling in the arm after arm wrestling with his neighbor, around two months ago.</p>

<p>&nbsp;</p>",essay,1,0,2018-07-14 21:35:52,2018-11-20 05:53:52
386,BE18718-O1,<p>A 30-years-old male complaining lump in his right wrist joint since 9 months ago.</p>,essay,1,0,2018-07-14 21:41:40,2018-11-20 05:57:08
387,BE18718-O2,<p>A 50-years old male suddenly suffering severe pain on his bilateral arm</p>,essay,1,0,2018-07-15 08:18:02,2018-07-15 08:21:34
388,BE18718-03,<p>A 35-years old female comes to private clinic with pain and lump on her left ankle joint since 10 months ago.</p>,essay,1,0,2018-07-15 08:22:21,2018-11-20 05:56:20
389,BE18718-O4,<p>A 53-years old female have mild pain on his right hip since 2 months. She was diagnosed with breast carcinoma 1 year ago and underwent surgery and chemotherapy.</p>,essay,1,0,2018-07-15 08:44:41,2018-07-15 08:46:53
390,BE18718-O5,,essay,1,0,2018-07-15 08:47:38,2018-07-16 13:18:22
391,BE18718-P1,"<p>A 6 yo child fell down 1,5 years ago while playing football, he was brought to a bonesetter and was splinted for 6 weeks. Up until now he still feels his left elbow is unstable</p>",essay,1,0,2018-07-15 08:52:33,2018-11-20 05:58:01
392,BE18718-P2,<p>A 11 yo boy had an antalgic gait since a few months ago. There was no history of hip major trauma. The gait got worst and he now barely walks. Left hips reveals significant limitations of internal rotation and abduction.</p>,essay,1,0,2018-07-15 08:59:14,2018-11-20 06:14:01
393,BE18718-P3,<p>A 8 year old boy presented with short stature and bilateral genu valgus. Laboratory shows elevated serum phosphatase alkaline (2000 IU/L)</p>,essay,1,0,2018-07-15 09:29:28,2018-07-15 09:35:24
394,BE18718-P4,"<p>A 15 year old female with history of prematurity and prolonged ventilatory assisted hospitalization in NICU, presented to your clinic with spastic muscles, wheel chair dependendent and anxiety most likely due to hip pain</p>",essay,1,0,2018-07-15 09:37:08,2018-07-15 09:38:52
395,BE18718-P5,"<p>A 12 yo boy presented to your clinic with discharging sinus for the last 5 years. There was a history of fell down, fever and swollen right knee before it started to discharge</p>",essay,1,0,2018-07-15 09:39:33,2018-11-20 05:59:06
396,BE18718-S1,<p>This is&nbsp; a CT scan imaging of a 27 years old male suffered from total paraplegia of both lower extremities after RTA</p>,essay,1,0,2018-07-15 09:41:35,2018-11-20 05:55:24
397,BE18718-S2,<p>A 69-year-old woman&nbsp; has&nbsp; gait and balance difficulties after falling down. Physical examination reveals&nbsp; weakness in&nbsp; upper extremity weakness (1/5) and lower extremity (3/5). The MRI result shown above</p>,essay,1,0,2018-07-15 09:45:52,2018-07-15 09:51:42
398,BE18718-S3,<p>In spinal column biomechanics&nbsp;</p>,essay,1,0,2018-07-15 09:52:23,2018-07-15 09:54:00
399,BE18718-S4,"<p>These are the radiograph and CT and MRI scans of a 35-year-old man with diabetes mellitus.&nbsp; He had severe neck pain for 6 weeks.&nbsp; He now has fevers and progressive weakness and numbness in his upper extremities.&nbsp; Examination reveals 3/5 strength in both upper extremities, with decreased sensation in both arms and hands and hyperreflexia.</p>",essay,1,0,2018-07-15 09:54:30,2018-11-20 05:54:43
400,BE18718-S5,"<p>These are the lumbar CT scans of a 16-year-old baseball pitcher who has had low-back pain for 3 months.&nbsp; He has no radiating pain, numbness, or weakness.&nbsp; His pain is worsened by extension and relieved with flexion.&nbsp; Examination reveals normal strength and sensation in his lower extremities.</p>

<p>&nbsp;</p>",essay,1,0,2018-07-15 10:01:16,2018-11-20 05:54:15
401,BE18718-USU1,,multiple-choice,0,1,2018-07-15 19:03:09,2018-07-15 19:03:09
402,BE18718-USU2,,multiple-choice,0,1,2018-07-15 19:07:47,2018-07-15 19:07:47
403,BE18718-USU3,,multiple-choice,0,1,2018-07-15 19:09:31,2018-07-15 19:09:31
404,BE18718-USU4,,multiple-choice,0,1,2018-07-15 19:12:30,2018-07-15 19:12:30
406,BE18718-UI1,,multiple-choice,0,1,2018-07-15 19:21:36,2018-07-15 19:21:36
408,BE18718-UI2,"<p>A 5-year-old boy has been febrile for the past 2 days, after an upper respiratory tract infection 7 days ago. He refuses to walk when you see him in your consultation room. He holds his left leg in frog legged position (The hip is flexed, externally rotated and abducted) and he will not let you examine him. His temperature is 39&deg;C while his white cell count is 20.&thinsp;000 WBC/mm 3, Erythrocyte sedimentation rate (ESR) is 60 mm/h, and C-reactive protein (CRP) is 70 mg/dL.</p>",multiple-choice,1,0,2018-07-15 19:24:21,2018-11-20 05:02:33
409,BE18718-UI3,"<p>A 7-year-old boy comes to your clinic because he started to be running strangely when playing outside a few weeks ago. Eventhough there is no sigificant major trauma to the hip, the problem got worst since then and he now walks with shorter steps with his left leg and spends less of the stance phase on that limb. Examination of bilateral hips reveals significant limitations of left hip in internal and external rotation and abduction. The x ray is as follows</p>",multiple-choice,1,0,2018-07-15 19:29:46,2018-07-15 19:36:54
410,BE18718-UI4,"<p>A 12-year-old girl comes to your clinic as a wheelchair-dependent and spastic child. She has a history of anoxia as an infant and prolonged hospitalization in NICU under ventilator. Hip abduction of the left hip is less than 30&deg;, Tardieu scale R1-R2 less than 15&deg;. The pelvic x ray is as follow</p>",multiple-choice,1,0,2018-07-16 13:27:06,2018-11-20 05:03:00
411,BE18718-UI5,<p>The emergency department calls you to see a 12-year-old male with pain on his proximal left&nbsp; thigh. He was hit by a car while riding bycycle this morning. He refuses to move his left hip joint. The CT scan is as follow</p>,multiple-choice,1,0,2018-07-16 13:33:45,2018-11-20 05:01:44
412,BE18718-UI6,<p>A 4 year old girl comes to your clinic unable to flex her left elbow after a fall in the playground 2 days ago. There is a slight tenderness on the lateral part of the elbow. The x ray is as follow</p>,multiple-choice,1,0,2018-07-16 13:37:39,2018-11-20 05:01:18
413,BE18718-UI7,,multiple-choice,0,0,2018-07-16 13:46:09,2018-07-16 13:46:09
414,BE18718-UI8,,multiple-choice,0,0,2018-07-16 13:48:29,2018-11-20 05:37:24
415,BE18718-UI9,,multiple-choice,0,0,2018-07-16 13:54:04,2018-07-16 13:54:04
417,BE18718-USU4,,multiple-choice,0,1,2018-07-16 19:50:00,2018-07-16 19:50:00
418,BE18718-UI45,,multiple-choice,0,1,2018-07-16 20:13:39,2018-07-16 20:13:39
419,BE18718-UI48,,multiple-choice,0,1,2018-07-16 20:16:22,2018-07-16 20:16:22
420,BE18718-UI50,,multiple-choice,0,1,2018-07-16 20:19:22,2018-11-20 05:20:20
421,BE18718-UI51,,multiple-choice,0,1,2018-07-16 20:22:30,2018-07-16 20:22:30
422,BE18718-UI54,,multiple-choice,0,1,2018-07-16 20:24:44,2018-07-16 23:48:34
